TiNbZrCu_9	
2θ, °	Intensity, counts
56.16	2165.901
56.18	2079.308
56.2	2076.273
56.22	2039.956
56.24	1973.879
56.26	1897.123
56.28	1879.43
56.3	1916.123
56.32	1879.921
56.34	1851.495
56.36	1853.715
56.38	1897.71
56.4	1844.631
56.42	1783.941
56.44	1700.084
56.46	1713.706
56.48	1756.213
56.5	1681.375
56.52	1686.642
56.54	1751.336
56.56	1720.75
56.58	1692.001
56.6	1683.656
56.62	1669.382
56.64	1578.114
56.66	1595.007
56.68	1652.771
56.7	1634.665
56.72	1619.318
56.74	1545.707
56.76	1545.369
56.78	1662.38
56.8	1578.83
56.82	1602.645
56.84	1573.929
56.86	1577.508
56.88	1601.548
56.9	1579.146
56.92	1553.849
56.94	1562.85
56.96	1613.984
56.98	1581.723
57	1582.097
57.02	1561.532
57.04	1521.241
57.06	1595.928
57.08	1563.911
57.1	1506.229
57.12	1491.399
57.14	1477.23
57.16	1532.153
57.18	1547.472
57.2	1458.716
57.22	1510.13
57.24	1453.9
57.26	1465.932
57.28	1485.207
57.3	1431.005
57.32	1424.865
57.34	1484.909
57.36	1487.911
57.38	1559.656
57.4	1515.726
57.42	1498.108
57.44	1501.502
57.46	1512.266
57.48	1503.985
57.5	1520.833
57.52	1512.295
57.54	1512.489
57.56	1467.772
57.58	1442.522
57.6	1442.15
57.62	1517.065
57.64	1467.836
57.66	1532.619
57.68	1480.566
57.7	1447.476
57.72	1524.753
57.74	1479.74
57.76	1516.783
57.78	1465.048
57.8	1445.699
57.82	1515.032
57.84	1505.779
57.86	1474.451
57.88	1509.528
57.9	1460.262
57.92	1444.742
57.94	1496.466
57.96	1514.178
57.98	1409.21
58	1515.715
58.02	1467.79
58.04	1512.131
58.06	1483.223
58.08	1473.517
58.1	1451.669
58.12	1510.176
58.14	1478.478
58.16	1431.828
58.18	1500.417
58.2	1511.695
58.22	1423.615
58.24	1464.054
58.26	1485.517
58.28	1492.449
58.3	1488.071
58.32	1455.781
58.34	1407.447
58.36	1442.607
58.38	1429.172
58.4	1485.985
58.42	1395.452
58.44	1407.399
58.46	1392.708
58.48	1421.455
58.5	1395.758
58.52	1455.912
58.54	1402.996
58.56	1471.247
58.58	1448.421
58.6	1482.272
58.62	1525.287
58.64	1468.463
58.66	1417.784
58.68	1412.452
58.7	1459.789
58.72	1452.63
58.74	1399.882
58.76	1443.09
58.78	1419.247
58.8	1475.984
58.82	1462.025
58.84	1425.519
58.86	1492.071
58.88	1420.451
58.9	1438.378
58.92	1439.938
58.94	1411.578
58.96	1427.293
